Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-05-11;06:34:58;20,00;"GASOLEO A";12,666;2;2026073783
2026-05-11;06:35:08;20,00;"GASOLEO A";12,666;4;2026073784
2026-05-11;06:36:21;47,00;"GASOLEO A";29,766;2;2026005467
2026-05-11;06:40:09;25,00;"GASOLEO A";15,833;4;2026073785
2026-05-11;06:42:35;10,00;"GASOLEO A";6,333;1;2026073786
2026-05-11;06:48:00;25,00;"GASOLEO A";15,833;1;2026073788
2026-05-11;06:49:53;50,00;"GASOLEO A";31,666;3;2026073789
2026-05-11;06:50:06;10,00;"GASOLEO A";6,333;2;2026073790
2026-05-11;06:54:51;500,00;"SIN PLOMO 95";371,195;2;2026073791
2026-05-11;06:57:18;120,00;"GASOLEO A";75,997;1;2026005468
2026-05-11;07:05:41;500,00;"SIN PLOMO 95";371,195;2;2026073792
2026-05-11;07:10:27;50,00;"GASOLEO A";31,666;1;2026005469
2026-05-11;07:11:06;20,00;"GASOLEO A";12,666;3;2026073793
2026-05-11;07:12:18;70,00;"GASOLEO A";44,332;4;2026073794
2026-05-11;07:13:59;20,00;"GASOLEO A";12,666;3;2026073795
2026-05-11;07:14:10;500,00;"SIN PLOMO 95";371,195;2;2026073796
2026-05-11;07:15:38;5,00;"SIN PLOMO 95";3,712;3;2026073797
2026-05-11;07:15:50;40,00;"GASOLEO A";25,332;1;2026073798
2026-05-11;07:20:40;45,00;"GASOLEO A";28,499;3;2026005470
2026-05-11;07:23:40;500,00;"SIN PLOMO 95";371,195;2;2026073800
2026-05-11;07:30:23;20,00;"GASOLEO A";12,666;4;2026073801
2026-05-11;07:30:42;30,00;"GASOLEO A";18,999;3;2026073802
2026-05-11;07:32:14;500,00;"SIN PLOMO 95";371,195;2;2026073803
2026-05-11;07:36:58;15,00;"GASOLEO A";9,500;4;2026073804
2026-05-11;07:39:03;40,00;"SIN PLOMO 95";29,696;3;2026073805
2026-05-11;07:39:19;30,00;"GASOLEO A";18,999;1;2026005471
2026-05-11;07:40:33;450,00;"SIN PLOMO 95";334,076;2;2026073806
2026-05-11;07:41:02;50,00;"GASOLEO A";31,666;4;2026073807
2026-05-11;07:41:54;85,00;"GASOLEO A";53,832;1;2026073808
2026-05-11;07:42:14;30,00;"GASOLEO A";18,999;3;2026073809
2026-05-11;07:45:48;50,00;"GASOLEO A";31,666;3;2026005472
2026-05-11;07:46:12;30,00;"GASOLEO A";18,999;4;2026073810
2026-05-11;07:46:36;50,00;"GASOLEO A";31,666;1;2026005473
2026-05-11;07:49:40;20,00;"SIN PLOMO 95";14,848;4;2026073812
2026-05-11;07:51:08;-48,41;"SIN PLOMO 95";-35,939;2;2026073813
2026-05-11;07:51:57;5,00;"GASOLEO A";3,167;4;2026073814
2026-05-11;07:57:14;50,01;"GASOLEO A";31,672;2;2026073815
2026-05-11;07:58:31;30,00;"GASOLEO A";18,999;2;2026073816
2026-05-11;08:00:58;60,00;"SIN PLOMO 95";44,543;1;2026005474
2026-05-11;08:01:58;20,00;"SIN PLOMO 95";14,848;3;2026073817
2026-05-11;08:02:35;-40,00;"SIN PLOMO 95";-29,696;3;2026000519
2026-05-11;08:02:35;40,00;"SIN PLOMO 95";29,696;3;2026005475
2026-05-11;08:07:02;45,96;"GASOLEO A";29,107;2;2026005476
2026-05-11;08:07:42;10,00;"SIN PLOMO 95";7,424;1;2026073818
2026-05-11;08:07:54;20,00;"GASOLEO A";12,666;3;2026073819
2026-05-11;08:09:24;4,04;"SIN PLOMO 95";3,000;2;2026073820
2026-05-11;08:10:44;50,00;"GASOLEO A";31,666;3;2026073821
2026-05-11;08:11:52;70,00;"GASOLEO A";44,332;1;2026005477
2026-05-11;08:11:57;-50,00;"GASOLEO A";-31,666;3;2026073822
2026-05-11;08:12:04;50,00;"GASOLEO A";31,666;2;2026073823
2026-05-11;08:13:58;28,60;"GASOLEO A";18,113;3;2026073824
2026-05-11;08:16:42;30,00;"SIN PLOMO 95";22,272;4;2026073825
2026-05-11;08:18:51;10,00;"GASOLEO A";6,333;2;2026073826
2026-05-11;08:19:48;30,00;"GASOLEO A";18,999;1;2026005478
2026-05-11;08:23:18;50,00;"GASOLEO A";31,666;2;2026073827
2026-05-11;08:23:40;40,00;"GASOLEO A";25,332;1;2026005479
2026-05-11;08:24:16;50,00;"GASOLEO A";31,666;4;2026073828
2026-05-11;08:28:46;55,00;"GASOLEO A";34,832;2;2026073829
2026-05-11;08:28:55;20,00;"GASOLEO A";12,666;4;2026073830
2026-05-11;08:29:55;15,79;"GASOLEO A";10,000;1;2026005480
2026-05-11;08:32:33;10,00;"SIN PLOMO 95";7,424;3;2026073831
2026-05-11;08:33:05;10,00;"GASOLEO A";6,333;4;2026073832
2026-05-11;08:34:29;-10,00;"GASOLEO A";-6,333;4;2026073833
2026-05-11;08:34:37;10,00;"SIN PLOMO 95";7,424;4;2026073834
2026-05-11;08:34:48;10,00;"SIN PLOMO 95";7,424;2;2026005481
2026-05-11;08:35:11;30,00;"SIN PLOMO 95";22,272;1;2026073835
2026-05-11;08:35:19;50,00;"GASOLEO A";31,666;3;2026073836
2026-05-11;08:36:41;10,00;"GASOLEO A";6,333;4;2026073837
2026-05-11;08:36:54;20,00;"SIN PLOMO 95";14,848;2;2026073838
2026-05-11;08:40:00;10,00;"GASOLEO A";6,333;2;2026073840
2026-05-11;08:43:53;38,01;"GASOLEO A";24,072;4;2026073841
2026-05-11;08:45:41;20,00;"GASOLEO A";12,666;2;2026005482
2026-05-11;08:47:43;10,00;"GASOLEO A";6,333;1;2026073842
2026-05-11;08:53:02;30,00;"GASOLEO A";18,999;2;2026073843
2026-05-11;08:55:46;49,02;"SIN PLOMO 95";36,392;4;2026073844
2026-05-11;08:57:20;6,00;"SIN PLOMO 95";4,454;1;2026073845
2026-05-11;09:00:14;10,00;"GASOLEO A";6,333;2;2026073846
2026-05-11;09:03:03;30,00;"GASOLEO A";18,999;4;2026073847
2026-05-11;09:06:02;20,00;"GASOLEO A";12,666;2;2026073848
2026-05-11;09:06:36;10,00;"GASOLEO A";6,333;3;2026073849
2026-05-11;09:07:18;20,00;"GASOLEO A";12,666;4;2026073850
2026-05-11;09:10:26;75,02;"GASOLEO A";47,511;1;2026073851
2026-05-11;09:10:37;30,00;"GASOLEO A";18,999;2;2026073852
2026-05-11;09:13:41;65,01;"SIN PLOMO 95";48,263;1;2026005483
2026-05-11;09:15:41;15,00;"GASOLEO A";9,500;1;2026073854
2026-05-11;09:16:04;40,00;"GASOLEO A";25,332;3;2026073855
2026-05-11;09:16:32;20,00;"GASOLEO A";12,666;2;2026073856
2026-05-11;09:18:45;24,00;"SIN PLOMO 95";17,817;4;2026073857
2026-05-11;09:19:18;30,00;"GASOLEO A";18,999;3;2026073858
2026-05-11;09:19:54;20,00;"GASOLEO A";12,666;2;2026073859
2026-05-11;09:22:38;32,02;"SIN PLOMO 95";23,771;4;2026073860
2026-05-11;09:23:18;45,00;"GASOLEO A";28,499;2;2026073861
2026-05-11;09:25:42;10,00;"SIN PLOMO 95";7,424;4;2026073862
2026-05-11;09:26:40;20,00;"SIN PLOMO 95";14,848;2;2026073863
2026-05-11;09:26:58;34,00;"GASOLEO A";21,533;1;2026073864
2026-05-11;09:28:10;40,00;"GASOLEO A";25,332;4;2026073865
2026-05-11;09:28:30;20,00;"GASOLEO A";12,666;3;2026073866
2026-05-11;09:29:25;20,00;"SIN PLOMO 95";14,848;2;2026073867
2026-05-11;09:31:05;62,00;"SIN PLOMO 95";46,028;1;2026073868
2026-05-11;09:31:59;30,00;"SIN PLOMO 95";22,272;2;2026073869
2026-05-11;09:33:17;50,00;"GASOLEO A";31,666;4;2026073870
2026-05-11;09:33:38;58,45;"SIN PLOMO 95";43,393;3;2026005484
2026-05-11;09:34:42;7,00;"GASOLEO A";4,433;1;2026073871
2026-05-11;09:35:06;30,00;"SIN PLOMO 95";22,272;2;2026073872
2026-05-11;09:36:25;20,00;"GASOLEO A";12,666;3;2026073873
2026-05-11;09:39:03;11,00;"SIN PLOMO 95";8,166;4;2026073874
2026-05-11;09:40:16;50,00;"GASOLEO A";31,666;2;2026073875
2026-05-11;09:40:55;88,20;"GASOLEO A";55,858;1;2026005485
2026-05-11;09:41:40;3,60;"SIN PLOMO 95";2,673;4;2026073876
2026-05-11;09:43:10;20,00;"GASOLEO A";12,666;1;2026073877
2026-05-11;09:44:22;20,00;"GASOLEO A";12,666;4;2026073878
2026-05-11;09:44:55;29,80;"SIN PLOMO 95";22,123;3;2026073879
2026-05-11;09:45:07;40,00;"GASOLEO A";25,332;2;2026073880
2026-05-11;09:45:09;50,00;"GASOLEO A";31,666;1;2026073881
2026-05-11;09:47:07;30,00;"GASOLEO A";18,999;2;2026073882
2026-05-11;09:47:17;50,00;"GASOLEO A";31,666;1;2026073883
2026-05-11;09:49:32;50,00;"GASOLEO A";31,666;4;2026073885
2026-05-11;09:51:17;10,00;"GASOLEO A";6,333;2;2026073886
2026-05-11;09:51:32;20,00;"GASOLEO A";12,666;1;2026073887
2026-05-11;09:52:06;66,92;"GASOLEO A";42,381;3;2026073888
2026-05-11;09:53:17;20,00;"GASOLEO A";12,666;4;2026073889
2026-05-11;09:55:14;60,00;"GASOLEO A";37,999;3;2026073890
2026-05-11;09:57:57;19,00;"GASOLEO A";12,033;2;2026073891
2026-05-11;09:58:31;30,00;"GASOLEO A";18,999;4;2026073892
2026-05-11;10:03:22;35,00;"SIN PLOMO 95";25,984;2;2026073893
2026-05-11;10:15:13;30,00;"GASOLEO A";18,999;2;2026073895
2026-05-11;10:19:11;51,01;"SIN PLOMO 95";37,869;3;2026073896
2026-05-11;10:20:12;20,00;"GASOLEO A";12,666;2;2026073897
2026-05-11;10:23:08;20,00;"GASOLEO A";12,666;2;2026073898
2026-05-11;10:23:18;30,00;"GASOLEO A";18,999;3;2026073899
2026-05-11;10:23:52;65,91;"GASOLEO A";41,742;4;2026073900
2026-05-11;10:27:51;20,00;"SIN PLOMO 95";14,848;2;2026073902
2026-05-11;10:30:14;10,00;"GASOLEO A";6,333;4;2026073903
2026-05-11;10:31:11;20,00;"GASOLEO A";12,666;1;2026073904
2026-05-11;10:35:15;60,00;"GASOLEO A";37,999;2;2026073905
2026-05-11;10:35:30;35,00;"SIN PLOMO 95";25,984;4;2026073906
2026-05-11;10:39:20;40,00;"GASOLEO A";25,332;4;2026073909
2026-05-11;10:40:21;15,00;"GASOLEO A";9,500;1;2026073910
2026-05-11;10:41:22;43,00;"SIN PLOMO 95";31,923;3;2026073911
2026-05-11;10:42:07;77,02;"GASOLEO A";48,778;2;2026073912
2026-05-11;10:43:59;2,00;"SIN PLOMO 95";1,485;1;2026073913
2026-05-11;10:49:33;30,00;"GASOLEO A";18,999;1;2026073914
2026-05-11;10:55:28;30,00;"GASOLEO A";18,999;4;2026073915
2026-05-11;10:58:06;40,00;"GASOLEO A";25,332;3;2026073916
2026-05-11;10:58:32;71,91;"GASOLEO A";45,541;2;2026073917
2026-05-11;10:58:58;20,00;"GASOLEO A";12,666;1;2026073918
2026-05-11;11:00:36;500,00;"SIN PLOMO 95";371,195;2;2026073919
2026-05-11;11:01:10;64,00;"GASOLEO A";40,532;4;2026073920
2026-05-11;11:01:58;30,00;"SIN PLOMO 95";22,272;1;2026073921
2026-05-11;11:04:24;40,00;"GASOLEO A";25,332;4;2026073922
2026-05-11;11:05:50;6,74;"SIN PLOMO 95";5,000;1;2026073923
2026-05-11;11:06:33;70,01;"GASOLEO A";44,338;3;2026073924
2026-05-11;11:07:37;10,00;"GASOLEO A";6,333;4;2026073925
2026-05-11;11:10:54;500,00;"SIN PLOMO 95";371,195;2;2026073926
2026-05-11;11:11:09;10,00;"GASOLEO A";6,333;3;2026073927
2026-05-11;11:12:29;30,00;"SIN PLOMO 95";22,272;1;2026073928
2026-05-11;11:13:56;50,00;"GASOLEO A";31,666;4;2026073930
2026-05-11;11:14:17;20,00;"GASOLEO A";12,666;3;2026073931
2026-05-11;11:15:50;20,00;"GASOLEO A";12,666;4;2026073932
2026-05-11;11:16:20;15,00;"GASOLEO A";9,500;1;2026073933
2026-05-11;11:20:27;500,00;"SIN PLOMO 95";371,195;2;2026073934
2026-05-11;11:26:32;15,00;"GASOLEO A";9,500;3;2026073935
2026-05-11;11:27:07;15,00;"SIN PLOMO 95";11,136;1;2026073936
2026-05-11;11:29:02;10,00;"SIN PLOMO 95";7,424;3;2026073937
2026-05-11;11:29:45;54,30;"GASOLEO A";34,389;4;2026073938
2026-05-11;11:30:07;8,00;"SIN PLOMO 95";5,939;1;2026073939
2026-05-11;11:31:03;20,00;"GASOLEO A";12,666;3;2026073940
2026-05-11;11:31:28;60,00;"GASOLEO A";37,999;4;2026073941
2026-05-11;11:31:38;500,00;"SIN PLOMO 95";371,195;2;2026073942
2026-05-11;11:32:55;50,00;"GASOLEO A";31,666;1;2026073943
2026-05-11;11:33:40;10,00;"GASOLEO A";6,333;3;2026073944
2026-05-11;11:35:48;20,00;"GASOLEO A";12,666;4;2026073945
2026-05-11;11:38:50;20,00;"SIN PLOMO 95";14,848;1;2026073946
2026-05-11;11:40:07;20,00;"GASOLEO A";12,666;4;2026073947
2026-05-11;11:40:22;500,00;"SIN PLOMO 95";371,195;2;2026073948
2026-05-11;11:43:11;25,00;"GASOLEO A";15,833;1;2026073949
2026-05-11;11:46:57;40,00;"GASOLEO A";25,332;3;2026073950
2026-05-11;11:49:44;540,00;"SIN PLOMO 95";400,891;2;2026073951
2026-05-11;11:50:10;40,00;"SIN PLOMO 95";29,696;4;2026073952
2026-05-11;11:54:53;50,00;"SIN PLOMO 95";37,120;1;2026073953
2026-05-11;11:55:45;68,34;"GASOLEO A";43,281;4;2026073954
2026-05-11;11:56:29;20,00;"GASOLEO A";12,666;3;2026073955
2026-05-11;11:58:19;20,00;"GASOLEO A";12,666;4;2026073956
2026-05-11;11:58:32;20,00;"SIN PLOMO 95";14,848;1;2026073957
2026-05-11;11:59:01;50,00;"GASOLEO A";31,666;3;2026005486
2026-05-11;12:01:09;40,00;"GASOLEO A";25,332;4;2026073958
2026-05-11;12:01:39;-133,35;"SIN PLOMO 95";-98,998;2;2026073959
2026-05-11;12:01:47;133,35;"SIN PLOMO 95";98,998;2;2026073960
2026-05-11;12:02:19;50,00;"GASOLEO A";31,666;3;2026073961
2026-05-11;12:04:38;61,00;"GASOLEO A";38,632;1;2026073963
2026-05-11;12:07:25;72,00;"GASOLEO A";45,598;4;2026073965
2026-05-11;12:07:49;13,09;"SIN PLOMO 95";9,718;1;2026073966
2026-05-11;12:09:14;86,18;"GASOLEO A";54,579;3;2026073967
2026-05-11;12:09:21;40,00;"GASOLEO A";25,332;4;2026073968
2026-05-11;12:11:57;50,00;"GASOLEO A";31,666;2;2026073969
2026-05-11;12:14:53;10,00;"GASOLEO A";6,333;1;2026073970
2026-05-11;12:15:12;30,00;"GASOLEO A";18,999;4;2026073971
2026-05-11;12:16:41;50,00;"GASOLEO A";31,666;1;2026005487
2026-05-11;12:19:55;19,92;"SIN PLOMO 95";14,788;3;2026073972
2026-05-11;12:20:05;20,00;"GASOLEO A";12,666;2;2026073973
2026-05-11;12:23:07;50,00;"GASOLEO A";31,666;2;2026073974
2026-05-11;12:24:44;50,00;"GASOLEO A";31,666;4;2026073975
2026-05-11;12:27:47;6,74;"SIN PLOMO 95";5,004;1;2026073976
2026-05-11;12:31:07;30,00;"GASOLEO A";18,999;1;2026073978
2026-05-11;12:34:20;30,00;"GASOLEO A";18,999;3;2026073981
2026-05-11;12:34:58;5,00;"SIN PLOMO 95";3,712;4;2026073982
2026-05-11;12:39:42;75,00;"GASOLEO A";47,498;2;2026073983
2026-05-11;12:41:12;26,00;"GASOLEO A";16,466;3;2026073985
2026-05-11;12:41:29;20,00;"GASOLEO A";12,666;4;2026073986
2026-05-11;12:43:17;20,00;"GASOLEO A";12,666;2;2026073987
2026-05-11;12:43:52;25,00;"GASOLEO A";15,833;1;2026073988
2026-05-11;12:45:27;20,00;"SIN PLOMO 95";14,848;3;2026073989
2026-05-11;12:45:36;-0,30;"GASOLEO A";-0,190;1;2026073990
2026-05-11;12:47:18;50,00;"GASOLEO A";31,666;4;2026073991
2026-05-11;12:49:12;40,00;"GASOLEO A";25,332;2;2026073992
2026-05-11;12:49:21;10,00;"GASOLEO A";6,333;3;2026073993
2026-05-11;12:49:59;57,70;"GASOLEO A";36,542;1;2026073994
2026-05-11;12:51:23;5,00;"SIN PLOMO 95";3,712;3;2026073995
2026-05-11;12:52:37;10,00;"GASOLEO A";6,333;1;2026073996
2026-05-11;12:52:59;46,62;"SIN PLOMO 95";34,610;4;2026073997
2026-05-11;12:53:24;10,00;"SIN PLOMO 95";7,424;4;2026073999
2026-05-11;12:54:52;20,00;"GASOLEO A";12,666;3;2026074000
2026-05-11;12:56:34;51,06;"GASOLEO A";32,337;2;2026074001
2026-05-11;12:57:26;20,00;"SIN PLOMO 95";14,848;4;2026074002
2026-05-11;13:00:46;50,82;"SIN PLOMO 95";37,728;2;2026074004
2026-05-11;13:01:20;50,00;"GASOLEO A";31,666;3;2026074005
2026-05-11;13:03:29;20,00;"GASOLEO A";12,666;2;2026074006
2026-05-11;13:05:49;20,00;"GASOLEO A";12,666;1;2026074007
2026-05-11;13:06:43;20,00;"SIN PLOMO 95";14,848;3;2026074008
2026-05-11;13:07:21;5,00;"SIN PLOMO 95";3,712;4;2026074009
2026-05-11;13:09:53;20,00;"GASOLEO A";12,666;2;2026074010
2026-05-11;13:11:22;20,00;"GASOLEO A";12,666;1;2026074012
2026-05-11;13:11:43;10,00;"SIN PLOMO 95";7,424;3;2026074013
2026-05-11;13:12:54;20,00;"GASOLEO A";12,666;2;2026074014
2026-05-11;13:13:40;10,00;"GASOLEO A";6,333;4;2026074015
2026-05-11;13:13:57;30,00;"GASOLEO A";18,999;1;2026074016
2026-05-11;13:15:37;5,00;"GASOLEO A";3,167;2;2026074017
2026-05-11;13:17:03;10,00;"GASOLEO A";6,333;4;2026074020
2026-05-11;13:17:06;2,00;"SIN PLOMO 95";1,485;3;2026074021
2026-05-11;13:18:33;30,00;"GASOLEO A";18,999;2;2026074022
