Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;06:36:12;25,00;"GASOLEO A";16,171;2;2026086199
2026-06-03;06:36:42;50,00;"GASOLEO A";32,342;1;2026086200
2026-06-03;06:36:52;10,00;"GASOLEO A";6,468;3;2026086201
2026-06-03;06:40:55;500,00;"SIN PLOMO 95";377,358;2;2026086203
2026-06-03;06:44:14;10,00;"GASOLEO A";6,468;3;2026086204
2026-06-03;06:50:41;50,00;"GASOLEO A";32,342;3;2026006445
2026-06-03;06:50:57;500,00;"SIN PLOMO 95";377,358;2;2026086205
2026-06-03;06:51:20;20,00;"GASOLEO A";12,937;4;2026086206
2026-06-03;06:52:23;40,00;"GASOLEO A";25,873;1;2026006446
2026-06-03;06:56:54;15,00;"SIN PLOMO 95";11,321;4;2026086208
2026-06-03;07:00:04;71,19;"GASOLEO A";46,048;3;2026006447
2026-06-03;07:00:51;50,00;"GASOLEO A";32,342;1;2026086209
2026-06-03;07:01:35;500,00;"SIN PLOMO 95";377,358;2;2026086210
2026-06-03;07:02:39;5,00;"SIN PLOMO 95";3,774;1;2026086211
2026-06-03;07:04:26;15,00;"GASOLEO A";9,702;4;2026006448
2026-06-03;07:06:11;90,36;"GASOLEO A";58,448;3;2026006449
2026-06-03;07:10:08;3,00;"SIN PLOMO 95";2,264;1;2026086212
2026-06-03;07:12:13;20,00;"GASOLEO A";12,937;3;2026086213
2026-06-03;07:12:13;20,00;"GASOLEO A";12,937;1;2026086213
2026-06-03;07:12:56;30,00;"SIN PLOMO 95";22,642;4;2026086214
2026-06-03;07:13:32;500,00;"SIN PLOMO 95";377,358;2;2026086215
2026-06-03;07:22:16;500,00;"SIN PLOMO 95";377,358;2;2026086216
2026-06-03;07:25:18;20,00;"GASOLEO A";12,995;3;2026086217
2026-06-03;07:30:33;450,00;"SIN PLOMO 95";339,623;2;2026086220
2026-06-03;07:31:33;30,00;"GASOLEO A";19,493;1;2026006450
2026-06-03;07:32:28;20,00;"GASOLEO A";12,995;3;2026006451
2026-06-03;07:34:19;50,00;"GASOLEO A";32,489;4;2026086221
2026-06-03;07:34:39;10,00;"SIN PLOMO 95";7,547;1;2026086222
2026-06-03;07:35:29;20,00;"GASOLEO A";12,995;3;2026086223
2026-06-03;07:42:01;-109,18;"SIN PLOMO 95";-82,400;2;2026086224
2026-06-03;07:43:02;20,00;"SIN PLOMO 95";15,094;3;2026086225
2026-06-03;07:43:32;35,00;"SIN PLOMO 95";26,415;1;2026086226
2026-06-03;07:44:45;63,51;"SIN PLOMO 95";47,932;4;2026086227
2026-06-03;07:45:25;50,00;"GASOLEO A";32,489;3;2026086228
2026-06-03;07:47:08;10,00;"GASOLEO A";6,498;1;2026086229
2026-06-03;07:47:20;50,00;"GASOLEO A";32,489;2;2026086230
2026-06-03;07:49:52;50,00;"GASOLEO A";32,489;1;2026006452
2026-06-03;07:59:36;20,00;"GASOLEO A";12,995;2;2026086232
2026-06-03;08:04:26;20,00;"GASOLEO A";12,995;2;2026086234
